Date,Price
8/1/2016,28357
8/2/2016,28800
8/3/2016,29130
8/4/2016,29158
8/5/2016,29042
8/6/2016,28878
8/7/2016,29093
8/8/2016,29109
8/9/2016,29224
8/10/2016,29061
8/11/2016,29090
8/12/2016,29021
8/13/2016,29086
8/14/2016,29425
8/15/2016,29588
8/16/2016,29540
8/17/2016,29756
8/18/2016,29788
8/19/2016,30174
8/20/2016,30226
8/21/2016,30088
8/22/2016,30287
8/23/2016,30271
8/24/2016,29942
8/25/2016,29953
8/26/2016,29896
8/27/2016,30020
8/28/2016,29869
8/29/2016,29561
8/30/2016,29628
8/31/2016,29780
9/1/2016,29584
9/2/2016,29608
9/3/2016,30065
9/4/2016,29885
9/5/2016,29673
9/6/2016,29624
9/7/2016,29549
9/8/2016,29400
9/9/2016,29331
9/10/2016,29412
9/11/2016,29510
9/12/2016,29670
9/13/2016,29768
9/14/2016,29659
9/15/2016,29756
9/16/2016,29800
9/17/2016,29808
9/18/2016,29565
9/19/2016,29536
9/20/2016,29654
9/21/2016,29541
9/22/2016,29499
9/23/2016,29498
9/24/2016,29362
9/25/2016,29236
9/26/2016,29272
9/27/2016,29349
9/28/2016,29040
9/29/2016,29120
9/30/2016,29242
10/1/2016,29191
10/2/2016,29363
10/3/2016,29457
10/4/2016,29562
10/5/2016,29670
10/6/2016,29508
10/7/2016,29619
10/8/2016,29620
10/9/2016,29528
10/10/2016,29491
10/11/2016,29658
10/12/2016,29339
10/13/2016,29334
10/14/2016,29504
10/15/2016,29420
10/16/2016,29375
10/17/2016,29460
10/18/2016,29381
10/19/2016,29215
10/20/2016,28992
10/21/2016,29217
10/22/2016,29059
10/23/2016,28893
10/24/2016,28972
10/25/2016,28670
10/26/2016,28588
10/27/2016,28429
10/28/2016,28318
10/29/2016,28377
10/30/2016,28500
10/31/2016,28441
11/1/2016,28663
11/2/2016,28555
11/3/2016,28617
11/4/2016,28596
11/5/2016,28757
11/6/2016,28924
11/7/2016,29092
11/8/2016,29171
11/9/2016,29372
11/10/2016,29324
11/11/2016,29392
11/12/2016,29481
11/13/2016,29472
11/14/2016,29465
11/15/2016,29270
11/16/2016,29173
11/17/2016,29343
11/18/2016,29404
11/19/2016,29553
11/20/2016,29763
11/21/2016,29830
11/22/2016,29761
11/23/2016,29644
11/24/2016,29743
11/25/2016,29806
11/26/2016,29876
11/27/2016,30244
11/28/2016,30367
11/29/2016,30074
11/30/2016,30052
12/1/2016,30064
12/2/2016,30512
12/3/2016,30399
12/4/2016,30286
12/5/2016,30182
12/6/2016,29976
12/7/2016,30103
12/8/2016,29999
12/9/2016,30133
12/10/2016,30195
12/11/2016,30605
12/12/2016,30549
12/13/2016,30785
12/14/2016,30715
12/15/2016,30524
12/16/2016,30459
12/17/2016,30564
12/18/2016,30492
12/19/2016,30518
12/20/2016,30306
12/21/2016,30423
12/22/2016,30181
12/23/2016,30473
12/24/2016,30429
12/25/2016,30568
12/26/2016,30461
12/27/2016,30436
12/28/2016,30408
12/29/2016,30340
12/30/2016,30387
12/31/2016,30413
1/1/2017,30314
1/2/2017,30251
1/3/2017,30432
1/4/2017,30284
1/5/2017,30464
1/6/2017,30506
1/7/2017,30901
1/8/2017,30889
1/9/2017,30717
1/10/2017,30518
1/11/2017,30426
1/12/2017,30961
1/13/2017,30625
1/14/2017,30886
1/15/2017,30505
1/16/2017,30605
1/17/2017,30675
1/18/2017,30798
1/19/2017,31244
1/20/2017,30897
1/21/2017,31005
1/22/2017,31167
1/23/2017,31257
1/24/2017,31410
1/25/2017,31479
1/26/2017,31314
1/27/2017,31164
1/28/2017,31262
1/29/2017,31301
1/30/2017,31158
1/31/2017,31129
2/1/2017,30947
2/2/2017,30874
2/3/2017,30926
2/4/2017,31003
2/5/2017,31068
2/6/2017,31247
2/7/2017,31200
2/8/2017,31303
2/9/2017,31352
2/10/2017,31500
2/11/2017,31496
2/12/2017,31186
2/13/2017,31007
2/14/2017,30986
2/15/2017,31093
2/16/2017,31114
2/17/2017,31111
2/18/2017,31186
2/19/2017,31461
2/20/2017,31194
2/21/2017,30971
2/22/2017,31184
2/23/2017,31030
2/24/2017,30882
2/25/2017,30568
2/26/2017,30708
2/27/2017,30699
2/28/2017,30755
3/1/2017,31055
3/2/2017,31076
3/3/2017,31035
3/4/2017,30952
3/5/2017,30952
3/6/2017,31145
3/7/2017,30804
3/8/2017,30773
3/9/2017,30702
3/10/2017,30605
3/11/2017,30451
3/12/2017,30498
3/13/2017,30540
3/14/2017,30480
3/15/2017,30606
3/16/2017,30431
3/17/2017,30363
3/18/2017,30153
3/19/2017,30469
3/20/2017,30510
3/21/2017,30541
3/22/2017,30582
3/23/2017,30638
3/24/2017,30551
3/25/2017,30344
3/26/2017,30175
3/27/2017,30131
3/28/2017,30103
3/29/2017,29757
3/30/2017,29799
3/31/2017,29913
4/1/2017,29957
4/2/2017,29914
4/3/2017,29912
4/4/2017,29959
4/5/2017,29836
4/6/2017,29805
4/7/2017,29755
4/8/2017,29638
4/9/2017,29462
4/10/2017,29520
4/11/2017,29800
4/12/2017,29563
4/13/2017,29534
4/14/2017,29544
4/15/2017,29605
4/16/2017,29706
4/17/2017,29665
4/18/2017,29664
4/19/2017,29275
4/20/2017,29275
4/21/2017,29435
4/22/2017,29542
4/23/2017,29627
4/24/2017,29576
4/25/2017,29882
4/26/2017,29973
4/27/2017,29981
4/28/2017,30144
4/29/2017,30131
4/30/2017,30116
5/1/2017,30327
5/2/2017,30221
5/3/2017,30310
5/4/2017,30565
5/5/2017,30509
5/6/2017,30725
5/7/2017,30732
5/8/2017,30664
5/9/2017,30470
5/10/2017,30453
5/11/2017,30778
5/12/2017,30811
5/13/2017,30649
5/14/2017,30623
5/15/2017,30609
5/16/2017,30862
5/17/2017,30838
5/18/2017,30608
5/19/2017,30356
5/20/2017,30479
5/21/2017,30614
5/22/2017,31025
5/23/2017,31136
5/24/2017,31233
5/25/2017,31096
5/26/2017,31161
5/27/2017,31247
5/28/2017,31793
5/29/2017,31670
5/30/2017,31877
5/31/2017,31701
6/1/2017,31702
6/2/2017,31885
6/3/2017,31737
6/4/2017,31729
6/5/2017,31871
6/6/2017,31723
6/7/2017,31683
6/8/2017,31764
6/9/2017,31730
6/10/2017,31725
6/11/2017,31631
6/12/2017,31783
6/13/2017,31737
6/14/2017,31783
6/15/2017,31657
6/16/2017,31602
6/17/2017,31408
6/18/2017,31023
6/19/2017,31014
6/20/2017,30778
6/21/2017,30838
6/22/2017,30831
6/23/2017,31017
6/24/2017,30888
6/25/2017,30830
6/26/2017,30839
6/27/2017,30613
6/28/2017,30513
6/29/2017,30574
6/30/2017,30423
7/1/2017,30457
7/2/2017,30253
7/3/2017,30186
7/4/2017,30787
7/5/2017,30964
7/6/2017,30926
7/7/2017,31005
7/8/2017,31440
7/9/2017,31895
7/10/2017,31812
7/11/2017,31626
7/12/2017,31414
7/13/2017,31437
7/14/2017,31501
7/15/2017,31075
7/16/2017,31139
7/17/2017,31219
7/18/2017,31126
7/19/2017,31375
7/20/2017,31463
7/21/2017,31611
7/22/2017,31506
7/23/2017,31489
7/24/2017,31560
7/25/2017,31934
7/26/2017,31939
7/27/2017,31679
7/28/2017,31652
7/29/2017,31736
7/30/2017,31993
7/31/2017,31878
8/1/2017,31924
8/2/2017,32130
8/3/2017,32169
8/4/2017,32272
8/5/2017,32253
8/6/2017,32089
8/7/2017,32039
8/8/2017,32154
8/9/2017,32135
8/10/2017,32016
8/11/2017,32339
8/12/2017,32536
8/13/2017,32891
8/14/2017,32903
8/15/2017,33100
8/16/2017,33405
8/17/2017,33455
8/18/2017,33381
8/19/2017,33222
8/20/2017,33056
8/21/2017,33125
8/22/2017,32931
8/23/2017,32747
8/24/2017,32909
8/25/2017,32970
8/26/2017,33263
8/27/2017,33463
8/28/2017,33753
8/29/2017,33719
8/30/2017,33302
8/31/2017,33369
9/1/2017,33159
9/2/2017,33228
9/3/2017,33171
9/4/2017,32902
9/5/2017,32533
9/6/2017,32505
9/7/2017,32015
9/8/2017,31954
9/9/2017,31946
9/10/2017,32174
9/11/2017,31915
9/12/2017,32015
9/13/2017,32225
9/14/2017,31832
9/15/2017,31853
9/16/2017,31685
9/17/2017,31985
9/18/2017,31740
9/19/2017,31842
9/20/2017,32155
9/21/2017,32223
9/22/2017,32113
9/23/2017,32019
9/24/2017,31624
9/25/2017,31703
9/26/2017,31570
9/27/2017,31535
9/28/2017,31450
9/29/2017,31503
9/30/2017,31566
10/1/2017,32076
10/2/2017,32098
10/3/2017,32174
10/4/2017,31663
10/5/2017,31760
10/6/2017,31760
10/7/2017,31474
10/8/2017,31410
10/9/2017,31403
